year,eez_country,GDP
2008,ABW,27084.70369
2008,AFG,364.6607448
2008,AGO,4080.94141
2008,ALB,4370.540127
2008,AND,48718.49687
2008,ARE,44498.93423
2008,ARG,9020.873098
2008,ARM,4010.857243
2008,ASM,9792.666806
2008,ATG,16024.34555
2008,AUS,49601.65671
2008,AUT,51708.76575
2008,AZE,5574.603802
2008,BDI,198.3529006
2008,BEL,48106.89292
2008,BEN,1120.888273
2008,BFA,640.8108774
2008,BGD,634.9870565
2008,BGR,7265.735497
2008,BHR,23066.53376
2008,BHS,30627.23863
2008,BIH,5090.932345
2008,BLR,6377.369732
2008,BLZ,4404.330836
2008,BMU,93605.74817
2008,BOL,1715.208922
2008,BRA,8831.023117
2008,BRB,17092.58214
2008,BRN,37934.37651
2008,BTN,1828.149233
2008,BWA,5713.534983
2008,CAF,464.5614221
2008,CAN,46594.45095
2008,CHE,72487.84593
2008,CHI,
2008,CHL,10751.47967
2008,CHN,3468.304463
2008,CIV,1235.613366
2008,CMR,1371.746708
2008,COD,327.5637218
2008,COG,2956.264407
2008,COL,5472.536133
2008,COM,1387.594626
2008,CPV,3721.250949
2008,CRI,6859.079022
2008,CUB,5411.271418
2008,CUW,
2008,CYM,85187.84024
2008,CYP,35397.36368
2008,CZE,22698.85396
2008,DEU,45427.15168
2008,DJI,1223.856861
2008,DMA,6469.145738
2008,DNK,64322.0635
2008,DOM,5087.985365
2008,DZA,4923.629265
2008,ECU,4249.019262
2008,EGY,2044.527855
2008,ERI,450.6328403
2008,ESP,35366.2596
2008,EST,18227.12008
2008,ETH,326.4368267
2008,FIN,53554.03892
2008,FJI,4167.670285
2008,FRA,45334.11444
2008,FRO,50866.0811
2008,FSM,2541.408883
2008,GAB,10212.81943
2008,GBR,47286.99849
2008,GEO,3324.735879
2008,GHA,1210.622257
2008,GIB,
2008,GIN,715.0968204
2008,GMB,924.5115164
2008,GNB,597.5763927
2008,GNQ,22942.58345
2008,GRC,31997.28201
2008,GRD,7832.423352
2008,GRL,44367.05565
2008,GTM,2848.50316
2008,GUM,29056.31429
2008,GUY,2566.887085
2008,HKG,31515.66277
2008,HND,1727.827701
2008,HRV,16309.43901
2008,HTI,678.8447898
2008,HUN,15753.47328
2008,IDN,2166.854167
2008,IMN,70994.40895
2008,IND,998.522339
2008,IRL,61262.10056
2008,IRN,5717.314465
2008,IRQ,4636.610978
2008,ISL,56409.7731
2008,ISR,29567.80388
2008,ITA,40778.34274
2008,JAM,4917.718398
2008,JOR,3398.151722
2008,JPN,39339.29757
2008,KAZ,8513.564645
2008,KEN,902.0700258
2008,KGZ,966.3936272
2008,KHM,745.6091807
2008,KIR,1428.120516
2008,KNA,15590.52879
2008,KOR,21350.42798
2008,KWT,55494.95099
2008,LAO,900.3236718
2008,LBN,6111.332411
2008,LBR,478.3999379
2008,LBY,14382.57629
2008,LCA,8456.694632
2008,LIE,143255.9816
2008,LKA,2037.322103
2008,LSO,884.9626748
2008,LTU,14961.56818
2008,LUX,114293.8433
2008,LVA,16376.99836
2008,MAC,40597.55748
2008,MAF,
2008,MAR,2890.360083
2008,MCO,185721.7942
2008,MDA,2111.201495
2008,MDG,536.3514595
2008,MDV,6614.159147
2008,MEX,10016.5713
2008,MHL,2726.097483
2008,MKD,4793.443669
2008,MLI,694.2776501
2008,MLT,21928.70067
2008,MMR,638.1490599
2008,MNE,7367.751909
2008,MNG,2136.563214
2008,MNP,17189.93135
2008,MOZ,564.4794877
2008,MRT,1558.889743
2008,MUS,8030.063005
2008,MWI,387.6059753
2008,MYS,8474.586829
2008,NAM,4153.247938
2008,NCL,
2008,NER,473.4146716
2008,NGA,2242.871886
2008,NIC,1499.258678
2008,NLD,57644.47997
2008,NOR,96944.09561
2008,NPL,470.4555473
2008,NRU,
2008,NZL,31290.25372
2008,OMN,22139.64041
2008,PAK,990.8465996
2008,PAN,7154.274496
2008,PER,4220.616969
2008,PHL,1991.231542
2008,PLW,10587.27545
2008,PNG,1672.950784
2008,POL,14001.38156
2008,PRI,24898.33459
2008,PRK,
2008,PRT,24847.54514
2008,PRY,4041.583876
2008,PSE,1857.890515
2008,PYF,
2008,QAT,80234.47007
2008,ROU,10435.04398
2008,RUS,11635.27293
2008,RWA,545.7551005
2008,SAU,20078.25779
2008,SDN,1304.533051
2008,SEN,1411.929332
2008,SGP,40007.46926
2008,SLB,1208.338618
2008,SLE,408.4807421
2008,SLV,2933.395675
2008,SMR,78643.55065
2008,SOM,507
2008,SRB,7101.040141
2008,SSD,1669.492414
2008,STP,1098.768061
2008,SUR,6831.970411
2008,SVK,18677.29271
2008,SVN,27483.33695
2008,SWE,56152.55234
2008,SWZ,3137.396115
2008,SXM,
2008,SYC,11122.86207
2008,SYR,
2008,TCA,27648.34402
2008,TCD,925.6360843
2008,TGO,544.1475234
2008,THA,4379.658524
2008,TJK,715.8651105
2008,TKM,3904.463719
2008,TLS,614.4323923
2008,TON,3380.613351
2008,TTO,21204.10497
2008,TUN,4307.155878
2008,TUR,10854.17225
2008,TUV,2936.80626
2008,TZA,687.3904455
2008,UGA,467.9005703
2008,UKR,3887.242337
2008,URY,9091.079039
2008,USA,48382.55845
2008,UZB,1082.286025
2008,VCT,6415.809617
2008,VEN,11432.74386
2008,VGB,
2008,VIR,39207.00375
2008,VNM,1149.424642
2008,VUT,2705.597658
2008,WSM,3379.082093
2008,XKX,3254.820269
2008,YEM,1229.246843
2008,ZAF,5760.805287
2008,ZMB,1394.000608
2008,ZWE,356.6933497
